A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
DEVIL IN SPRING,Lisa Kleypas,2,A retiring game-designing debutante is drawn into a scandal with a London rake.,Avon
BIG LITTLE LIES,Liane Moriarty,3,"Who will end up dead, and how, when three mothers with children in the same school become friends?",Berkley
A MAN CALLED OVE,Fredrik Backman,4,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Washington Square
A DOG'S PURPOSE,W Bruce Cameron,5,A canine narrator undergoes a series of reincarnations.,Forge Books
THE SHACK,William P Young,1,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",Windblown Media
